Flight_ID,Route,Departure_Time,Arrival_Time,Aircraft_Type,Flight_Duration,Pilot_ID,Name,Rank,Certification,Age,Experience_Years,Rest_Hours,Fatigue_Score,Last_Flight_Time
FLY1012,Guwahati to Chennai,2025-12-31 07:30,2025-12-31 09:00,B737,1h 30m,PLT8982,Captain_23,Captain,B737,46,24,21,1,2025-12-30 10:30
FLY1013,Hyderabad to Ahmedabad,2025-12-31 04:30,2025-12-31 06:38,B737,2h 8m,PLT7501,FO_35,First Officer,B737,36,15,19,1,2025-12-30 09:30
FLY1014,Mumbai to Hyderabad,2025-12-31 15:00,2025-12-31 16:53,A320,1h 53m,PLT8047,Captain_47,Captain,A320,45,23,14,3,2025-12-31 01:00
FLY1015,Mumbai to Chennai,2025-12-31 05:00,2025-12-31 07:42,B737,2h 42m,PLT6706,FO_50,First Officer,B737,30,9,8,8,2025-12-30 21:00
FLY1016,Ahmedabad to Guwahati,2025-12-31 13:15,2025-12-31 14:26,A320,1h 11m,PLT6605,FO_50,First Officer,A320,36,15,18,2,2025-12-30 19:15
FLY1017,Guwahati to Pune,2025-12-31 19:30,2025-12-31 20:54,B737,1h 24m,PLT5030,FO_19,First Officer,B737,27,6,15,3,2025-12-31 04:30
FLY1018,Bangalore to Hyderabad,2025-12-31 13:15,2025-12-31 15:17,B737,2h 2m,PLT6241,FO_4,First Officer,B737,37,16,10,6,2025-12-31 03:15
FLY1019,Bangalore to Chennai,2025-12-31 20:15,2025-12-31 22:25,B737,2h 10m,PLT6378,FO_6,First Officer,B737,33,12,19,4,2025-12-31 01:15
FLY1020,Delhi to Goa,2025-12-31 11:00,2025-12-31 13:11,A320,2h 11m,PLT7125,Captain_5,Captain,A320,50,28,13,4,2025-12-30 22:00
FLY1021,Kolkata to Chennai,2025-12-31 14:45,2025-12-31 15:33,B737,0h 48m,PLT7360,FO_14,First Officer,B737,31,10,8,8,2025-12-31 06:45
FLY1022,Kolkata to Bangalore,2025-12-31 11:45,2025-12-31 13:31,B737,1h 46m,PLT8585,Captain_29,Captain,B737,48,26,12,8,2025-12-30 23:45
FLY1023,Chennai to Mumbai,2025-12-31 01:00,2025-12-31 03:24,A320,2h 24m,PLT8188,FO_16,First Officer,A320,25,4,19,2,2025-12-30 06:00
FLY1024,Guwahati to Chennai,2025-12-31 08:00,2025-12-31 08:54,A320,0h 54m,PLT6699,Captain_15,Captain,A320,51,29,8,5,2025-12-31 00:00
FLY1025,Chennai to Pune,2025-12-31 10:30,2025-12-31 13:07,B737,2h 37m,PLT6427,Captain_48,Captain,B737,52,30,9,9,2025-12-31 01:30
FLY1026,Pune to Delhi,2025-12-31 20:00,2025-12-31 22:08,A320,2h 8m,PLT5101,Captain_20,Captain,A320,60,38,20,4,2025-12-31 00:00
FLY1027,Chennai to Hyderabad,2025-12-31 16:15,2025-12-31 17:19,A320,1h 4m,PLT6012,Captain_17,Captain,A320,48,26,12,7,2025-12-31 04:15
FLY1028,Bangalore to Mumbai,2025-12-31 09:00,2025-12-31 10:55,A320,1h 55m,PLT5746,Captain_37,Captain,A320,43,21,14,4,2025-12-30 19:00
FLY1029,Mumbai to Chennai,2025-12-31 00:15,2025-12-31 03:15,B737,3h 0m,PLT8406,Captain_2,Captain,B737,46,24,9,5,2025-12-30 15:15
FLY1030,Goa to Kolkata,2025-12-31 12:30,2025-12-31 15:10,A320,2h 40m,PLT7396,FO_48,First Officer,A320,24,3,13,2,2025-12-30 23:30
FLY1031,Goa to Mumbai,2025-12-31 09:00,2025-12-31 10:52,B737,1h 52m,PLT8397,FO_24,First Officer,B737,30,9,21,2,2025-12-30 12:00
FLY1032,Delhi to Kolkata,2025-12-31 06:15,2025-12-31 07:19,A320,1h 4m,PLT5220,Captain_13,Captain,A320,46,24,10,6,2025-12-30 20:15
FLY1033,Ahmedabad to Guwahati,2025-12-31 18:30,2025-12-31 20:43,A320,2h 13m,PLT5860,FO_23,First Officer,A320,25,4,9,6,2025-12-31 09:30
FLY1034,Ahmedabad to Pune,2025-12-31 17:15,2025-12-31 19:49,B737,2h 34m,PLT7297,Captain_6,Captain,B737,57,35,24,1,2025-12-30 17:15
FLY1035,Pune to Kolkata,2025-12-31 13:45,2025-12-31 14:56,B737,1h 11m,PLT6640,Captain_14,Captain,B737,47,25,16,1,2025-12-30 21:45
FLY1036,Hyderabad to Kolkata,2025-12-31 15:45,2025-12-31 16:47,A320,1h 2m,PLT8071,FO_50,First Officer,A320,33,12,16,4,2025-12-30 23:45
FLY1037,Ahmedabad to Guwahati,2025-12-31 03:45,2025-12-31 05:43,B737,1h 58m,PLT5733,Captain_26,Captain,B737,45,23,12,9,2025-12-30 15:45
FLY1038,Chennai to Hyderabad,2025-12-31 02:00,2025-12-31 03:29,B737,1h 29m,PLT8770,Captain_23,Captain,B737,52,30,10,6,2025-12-30 16:00
FLY1039,Bangalore to Delhi,2025-12-31 02:30,2025-12-31 03:26,B737,0h 56m,PLT6451,FO_10,First Officer,B737,36,15,17,4,2025-12-30 09:30
FLY1040,Ahmedabad to Mumbai,2025-12-31 04:00,2025-12-31 05:49,B737,1h 49m,PLT5321,FO_22,First Officer,B737,34,13,17,1,2025-12-30 11:00
FLY1041,Goa to Delhi,2025-12-31 08:00,2025-12-31 09:27,A320,1h 27m,PLT8969,FO_14,First Officer,A320,29,8,18,4,2025-12-30 14:00
FLY1042,Goa to Delhi,2025-12-31 14:15,2025-12-31 15:35,B737,1h 20m,PLT8020,FO_25,First Officer,B737,36,15,21,3,2025-12-30 17:15
FLY1043,Delhi to Ahmedabad,2025-12-31 03:30,2025-12-31 04:24,B737,0h 54m,PLT5109,Captain_28,Captain,B737,51,29,14,3,2025-12-30 13:30
FLY1044,Hyderabad to Bangalore,2025-12-31 07:30,2025-12-31 08:29,A320,0h 59m,PLT7075,FO_10,First Officer,A320,24,3,15,2,2025-12-30 16:30
FLY1045,Kolkata to Bangalore,2025-12-31 02:30,2025-12-31 05:02,A320,2h 32m,PLT5060,FO_12,First Officer,A320,24,3,24,4,2025-12-30 02:30
FLY1046,Pune to Kolkata,2025-12-31 17:45,2025-12-31 20:39,A320,2h 54m,PLT6858,FO_10,First Officer,A320,35,14,17,4,2025-12-31 00:45
FLY1047,Chennai to Ahmedabad,2025-12-31 18:30,2025-12-31 19:21,A320,0h 51m,PLT8994,Captain_13,Captain,A320,48,26,19,4,2025-12-30 23:30
FLY1048,Guwahati to Chennai,2025-12-31 06:15,2025-12-31 07:17,A320,1h 2m,PLT7154,Captain_11,Captain,A320,59,37,20,2,2025-12-30 10:15
FLY1049,Delhi to Kolkata,2025-12-31 03:15,2025-12-31 05:45,A320,2h 30m,PLT7830,FO_19,First Officer,A320,31,10,18,2,2025-12-30 09:15
FLY1050,Hyderabad to Ahmedabad,2025-12-31 16:00,2025-12-31 18:35,A320,2h 35m,PLT5857,Captain_17,Captain,A320,40,18,21,1,2025-12-30 19:00
FLY1051,Goa to Bangalore,2025-12-31 01:45,2025-12-31 03:34,A320,1h 49m,PLT7542,Captain_43,Captain,A320,49,27,9,8,2025-12-30 16:45
FLY1052,Guwahati to Kolkata,2025-12-31 10:45,2025-12-31 13:27,A320,2h 42m,PLT6618,Captain_37,Captain,A320,41,19,8,5,2025-12-31 02:45
FLY1053,Kolkata to Goa,2025-12-31 00:00,2025-12-31 01:46,B737,1h 46m,PLT6723,Captain_23,Captain,B737,49,27,19,2,2025-12-30 05:00
FLY1054,Guwahati to Ahmedabad,2025-12-31 14:15,2025-12-31 15:00,B737,0h 45m,PLT5577,FO_1,First Officer,B737,27,6,23,2,2025-12-30 15:15
FLY1055,Bangalore to Ahmedabad,2025-12-31 05:15,2025-12-31 08:09,B737,2h 54m,PLT5428,Captain_39,Captain,B737,54,32,17,3,2025-12-30 12:15
FLY1056,Pune to Mumbai,2025-12-31 11:45,2025-12-31 13:21,B737,1h 36m,PLT8424,Captain_5,Captain,B737,56,34,20,2,2025-12-30 15:45
FLY1057,Pune to Kolkata,2025-12-31 02:15,2025-12-31 04:38,A320,2h 23m,PLT7727,Captain_50,Captain,A320,55,33,21,2,2025-12-30 05:15
FLY1058,Goa to Ahmedabad,2025-12-31 11:00,2025-12-31 13:20,A320,2h 20m,PLT7916,Captain_11,Captain,A320,59,37,17,1,2025-12-30 18:00
FLY1059,Ahmedabad to Goa,2025-12-31 20:15,2025-12-31 22:23,A320,2h 8m,PLT5589,FO_39,First Officer,A320,36,15,13,3,2025-12-31 07:15
FLY1060,Guwahati to Goa,2025-12-31 12:15,2025-12-31 13:32,B737,1h 17m,PLT5562,Captain_8,Captain,B737,48,26,13,4,2025-12-30 23:15
FLY1061,Mumbai to Hyderabad,2025-12-31 11:30,2025-12-31 12:47,A320,1h 17m,PLT8560,Captain_36,Captain,A320,57,35,9,9,2025-12-31 02:30
FLY1062,Guwahati to Kolkata,2025-12-31 06:30,2025-12-31 08:16,A320,1h 46m,PLT8985,Captain_47,Captain,A320,59,37,13,2,2025-12-30 17:30
FLY1063,Kolkata to Bangalore,2025-12-31 04:00,2025-12-31 05:05,B737,1h 5m,PLT8688,Captain_15,Captain,B737,55,33,24,1,2025-12-30 04:00
FLY1064,Kolkata to Hyderabad,2025-12-31 05:30,2025-12-31 07:52,A320,2h 22m,PLT6074,FO_16,First Officer,A320,26,5,10,9,2025-12-30 19:30
FLY1065,Ahmedabad to Kolkata,2025-12-31 07:00,2025-12-31 08:26,A320,1h 26m,PLT8717,Captain_39,Captain,A320,42,20,20,2,2025-12-30 11:00
FLY1066,Hyderabad to Chennai,2025-12-31 18:15,2025-12-31 19:51,B737,1h 36m,PLT5703,Captain_17,Captain,B737,42,20,23,2,2025-12-30 19:15
FLY1067,Ahmedabad to Bangalore,2025-12-31 04:15,2025-12-31 05:27,B737,1h 12m,PLT6658,Captain_6,Captain,B737,53,31,14,4,2025-12-30 14:15
FLY1068,Mumbai to Pune,2025-12-31 06:15,2025-12-31 09:06,A320,2h 51m,PLT8349,FO_23,First Officer,A320,38,17,9,5,2025-12-30 21:15
FLY1069,Mumbai to Hyderabad,2025-12-31 08:45,2025-12-31 11:36,B737,2h 51m,PLT5082,FO_43,First Officer,B737,28,7,20,2,2025-12-30 12:45
FLY1070,Goa to Delhi,2025-12-31 16:00,2025-12-31 17:15,B737,1h 15m,PLT7609,FO_34,First Officer,B737,32,11,10,6,2025-12-31 06:00
FLY1071,Kolkata to Hyderabad,2025-12-31 07:30,2025-12-31 10:22,A320,2h 52m,PLT5015,FO_48,First Officer,A320,31,10,23,3,2025-12-30 08:30
FLY1072,Hyderabad to Bangalore,2025-12-31 09:00,2025-12-31 10:09,A320,1h 9m,PLT7614,FO_11,First Officer,A320,30,9,14,2,2025-12-30 19:00
FLY1073,Goa to Pune,2025-12-31 18:15,2025-12-31 20:13,A320,1h 58m,PLT6491,FO_45,First Officer,A320,27,6,18,2,2025-12-31 00:15
FLY1074,Guwahati to Delhi,2025-12-31 19:30,2025-12-31 21:02,B737,1h 32m,PLT6589,Captain_9,Captain,B737,43,21,15,3,2025-12-31 04:30
FLY1075,Guwahati to Pune,2025-12-31 14:00,2025-12-31 16:11,A320,2h 11m,PLT7840,FO_21,First Officer,A320,27,6,9,5,2025-12-31 05:00
FLY1076,Pune to Guwahati,2025-12-31 15:00,2025-12-31 17:01,B737,2h 1m,PLT6656,FO_41,First Officer,B737,33,12,20,1,2025-12-30 19:00
FLY1077,Delhi to Guwahati,2025-12-31 13:00,2025-12-31 13:47,B737,0h 47m,PLT8057,Captain_7,Captain,B737,56,34,11,7,2025-12-31 02:00
FLY1078,Bangalore to Chennai,2025-12-31 08:45,2025-12-31 09:30,A320,0h 45m,PLT5123,FO_34,First Officer,A320,27,6,21,1,2025-12-30 11:45
FLY1079,Goa to Kolkata,2025-12-31 14:30,2025-12-31 17:12,B737,2h 42m,PLT6198,Captain_13,Captain,B737,58,36,8,5,2025-12-31 06:30
FLY1080,Kolkata to Guwahati,2025-12-31 06:00,2025-12-31 07:27,A320,1h 27m,PLT8000,FO_32,First Officer,A320,33,12,10,8,2025-12-30 20:00
FLY1081,Bangalore to Delhi,2025-12-31 02:45,2025-12-31 05:19,B737,2h 34m,PLT7390,Captain_23,Captain,B737,50,28,9,7,2025-12-30 17:45
FLY1082,Bangalore to Mumbai,2025-12-31 06:45,2025-12-31 09:16,A320,2h 31m,PLT6102,Captain_24,Captain,A320,52,30,14,3,2025-12-30 16:45
FLY1083,Kolkata to Mumbai,2025-12-31 16:00,2025-12-31 17:28,A320,1h 28m,PLT6282,Captain_29,Captain,A320,44,22,15,3,2025-12-31 01:00
FLY1084,Mumbai to Chennai,2025-12-31 10:00,2025-12-31 10:50,A320,0h 50m,PLT7584,Captain_37,Captain,A320,58,36,23,4,2025-12-30 11:00
FLY1085,Hyderabad to Delhi,2025-12-31 18:00,2025-12-31 19:42,A320,1h 42m,PLT6570,FO_17,First Officer,A320,36,15,15,2,2025-12-31 03:00
FLY1086,Ahmedabad to Chennai,2025-12-31 13:45,2025-12-31 16:35,A320,2h 50m,PLT7231,Captain_48,Captain,A320,47,25,24,3,2025-12-30 13:45
FLY1087,Mumbai to Kolkata,2025-12-31 18:45,2025-12-31 19:34,A320,0h 49m,PLT6442,Captain_8,Captain,A320,56,34,23,3,2025-12-30 19:45
FLY1088,Pune to Hyderabad,2025-12-31 06:00,2025-12-31 06:57,A320,0h 57m,PLT6348,Captain_3,Captain,A320,48,26,21,2,2025-12-30 09:00
FLY1089,Goa to Bangalore,2025-12-31 05:30,2025-12-31 07:54,A320,2h 24m,PLT8281,FO_32,First Officer,A320,29,8,24,4,2025-12-30 05:30
FLY1090,Mumbai to Ahmedabad,2025-12-31 01:00,2025-12-31 03:06,B737,2h 6m,PLT5409,FO_49,First Officer,B737,30,9,11,6,2025-12-30 14:00
FLY1091,Guwahati to Pune,2025-12-31 18:15,2025-12-31 21:03,A320,2h 48m,PLT6287,FO_17,First Officer,A320,38,17,17,1,2025-12-31 01:15
FLY1092,Mumbai to Delhi,2025-12-31 18:30,2025-12-31 21:27,B737,2h 57m,PLT8344,FO_39,First Officer,B737,39,18,15,4,2025-12-31 03:30
FLY1093,Bangalore to Goa,2025-12-31 04:15,2025-12-31 07:01,B737,2h 46m,PLT7800,FO_21,First Officer,B737,39,18,10,6,2025-12-30 18:15
FLY1094,Ahmedabad to Chennai,2025-12-31 04:00,2025-12-31 05:21,A320,1h 21m,PLT6150,Captain_44,Captain,A320,52,30,15,1,2025-12-30 13:00
FLY1095,Kolkata to Ahmedabad,2025-12-31 11:30,2025-12-31 13:38,A320,2h 8m,PLT8593,FO_26,First Officer,A320,32,11,18,4,2025-12-30 17:30
FLY1096,Ahmedabad to Pune,2025-12-31 16:15,2025-12-31 18:26,B737,2h 11m,PLT5477,FO_10,First Officer,B737,32,11,14,1,2025-12-31 02:15
FLY1097,Delhi to Mumbai,2025-12-31 10:30,2025-12-31 12:33,A320,2h 3m,PLT7672,FO_44,First Officer,A320,33,12,11,5,2025-12-30 23:30
FLY1098,Ahmedabad to Kolkata,2025-12-31 07:00,2025-12-31 09:41,B737,2h 41m,PLT5519,Captain_12,Captain,B737,59,37,16,1,2025-12-30 15:00
FLY1099,Delhi to Bangalore,2025-12-31 05:15,2025-12-31 07:51,B737,2h 36m,PLT5225,Captain_26,Captain,B737,47,25,12,5,2025-12-30 17:15
FLY1100,Kolkata to Goa,2025-12-31 09:45,2025-12-31 11:53,B737,2h 8m,PLT6152,Captain_35,Captain,B737,45,23,22,4,2025-12-30 11:45
FLY1101,Guwahati to Bangalore,2025-12-31 15:00,2025-12-31 16:51,B737,1h 51m,PLT7009,Captain_10,Captain,B737,41,19,13,2,2025-12-31 02:00
FLY1102,Goa to Ahmedabad,2025-12-31 07:00,2025-12-31 09:38,B737,2h 38m,PLT5179,FO_18,First Officer,B737,32,11,22,3,2025-12-30 09:00
FLY1103,Ahmedabad to Bangalore,2025-12-31 01:45,2025-12-31 02:38,B737,0h 53m,PLT7268,Captain_19,Captain,B737,48,26,19,1,2025-12-30 06:45
FLY1104,Hyderabad to Ahmedabad,2025-12-31 09:30,2025-12-31 12:29,A320,2h 59m,PLT6959,Captain_10,Captain,A320,44,22,24,3,2025-12-30 09:30
FLY1105,Bangalore to Mumbai,2025-12-31 15:45,2025-12-31 18:25,A320,2h 40m,PLT5260,FO_34,First Officer,A320,28,7,15,3,2025-12-31 00:45
FLY1106,Kolkata to Mumbai,2025-12-31 16:15,2025-12-31 17:12,B737,0h 57m,PLT6443,FO_45,First Officer,B737,35,14,16,2,2025-12-31 00:15
FLY1107,Ahmedabad to Mumbai,2025-12-31 14:00,2025-12-31 15:19,A320,1h 19m,PLT5443,FO_15,First Officer,A320,33,12,22,4,2025-12-30 16:00
FLY1108,Bangalore to Hyderabad,2025-12-31 17:15,2025-12-31 18:38,A320,1h 23m,PLT7562,Captain_6,Captain,A320,48,26,24,2,2025-12-30 17:15
FLY1109,Bangalore to Goa,2025-12-31 09:00,2025-12-31 10:21,B737,1h 21m,PLT6275,Captain_32,Captain,B737,54,32,21,2,2025-12-30 12:00
FLY1110,Kolkata to Guwahati,2025-12-31 00:30,2025-12-31 01:16,A320,0h 46m,PLT8491,FO_11,First Officer,A320,35,14,19,3,2025-12-30 05:30
FLY1111,Hyderabad to Mumbai,2025-12-31 20:30,2025-12-31 21:51,A320,1h 21m,PLT7083,FO_36,First Officer,A320,36,15,8,7,2025-12-31 12:30
FLY1112,Chennai to Pune,2025-12-31 10:45,2025-12-31 12:04,B737,1h 19m,PLT8751,Captain_44,Captain,B737,52,30,19,1,2025-12-30 15:45
FLY1113,Bangalore to Kolkata,2025-12-31 14:00,2025-12-31 16:38,A320,2h 38m,PLT5311,FO_22,First Officer,A320,36,15,12,6,2025-12-31 02:00
FLY1114,Pune to Delhi,2025-12-31 06:30,2025-12-31 09:25,B737,2h 55m,PLT6364,Captain_9,Captain,B737,56,34,24,3,2025-12-30 06:30
FLY1115,Kolkata to Pune,2025-12-31 16:30,2025-12-31 18:47,B737,2h 17m,PLT8697,FO_7,First Officer,B737,34,13,10,6,2025-12-31 06:30
FLY1116,Kolkata to Pune,2025-12-31 01:30,2025-12-31 03:25,B737,1h 55m,PLT8375,FO_21,First Officer,B737,33,12,21,1,2025-12-30 04:30
FLY1117,Hyderabad to Guwahati,2025-12-31 01:30,2025-12-31 04:19,B737,2h 49m,PLT7944,Captain_12,Captain,B737,55,33,9,8,2025-12-30 16:30
FLY1118,Kolkata to Guwahati,2025-12-31 11:45,2025-12-31 13:28,A320,1h 43m,PLT6697,Captain_21,Captain,A320,44,22,18,2,2025-12-30 17:45
FLY1119,Chennai to Hyderabad,2025-12-31 17:45,2025-12-31 18:50,B737,1h 5m,PLT8784,FO_7,First Officer,B737,26,5,14,3,2025-12-31 03:45
FLY1120,Mumbai to Chennai,2025-12-31 05:00,2025-12-31 06:57,A320,1h 57m,PLT5781,Captain_45,Captain,A320,48,26,21,1,2025-12-30 08:00
FLY1121,Goa to Chennai,2025-12-31 02:45,2025-12-31 04:34,A320,1h 49m,PLT5304,FO_38,First Officer,A320,32,11,16,2,2025-12-30 10:45
FLY1122,Kolkata to Pune,2025-12-31 10:00,2025-12-31 12:14,A320,2h 14m,PLT8165,FO_42,First Officer,A320,32,11,13,1,2025-12-30 21:00
FLY1123,Guwahati to Chennai,2025-12-31 08:15,2025-12-31 10:18,B737,2h 3m,PLT8753,Captain_4,Captain,B737,57,35,16,1,2025-12-30 16:15
FLY1124,Delhi to Hyderabad,2025-12-31 09:15,2025-12-31 11:31,A320,2h 16m,PLT8700,Captain_1,Captain,A320,59,37,14,2,2025-12-30 19:15
FLY1125,Chennai to Mumbai,2025-12-31 07:30,2025-12-31 10:18,B737,2h 48m,PLT8156,Captain_47,Captain,B737,60,38,8,5,2025-12-30 23:30
FLY1126,Pune to Kolkata,2025-12-31 13:45,2025-12-31 15:39,B737,1h 54m,PLT8496,FO_42,First Officer,B737,25,4,13,2,2025-12-31 00:45
FLY1127,Delhi to Hyderabad,2025-12-31 10:00,2025-12-31 11:55,B737,1h 55m,PLT6537,FO_14,First Officer,B737,29,8,18,4,2025-12-30 16:00
FLY1128,Pune to Kolkata,2025-12-31 08:00,2025-12-31 09:45,B737,1h 45m,PLT6241,FO_3,First Officer,B737,25,4,8,6,2025-12-31 00:00
FLY1129,Ahmedabad to Mumbai,2025-12-31 04:30,2025-12-31 07:15,A320,2h 45m,PLT7062,FO_3,First Officer,A320,28,7,20,2,2025-12-30 08:30
FLY1130,Goa to Kolkata,2025-12-31 16:45,2025-12-31 17:56,B737,1h 11m,PLT8937,Captain_17,Captain,B737,45,23,22,2,2025-12-30 18:45
FLY1131,Kolkata to Guwahati,2025-12-31 13:30,2025-12-31 15:54,B737,2h 24m,PLT8320,Captain_31,Captain,B737,50,28,13,3,2025-12-31 00:30
FLY1132,Bangalore to Mumbai,2025-12-31 14:15,2025-12-31 17:00,A320,2h 45m,PLT7977,FO_30,First Officer,A320,34,13,9,7,2025-12-31 05:15
FLY1133,Chennai to Delhi,2025-12-31 15:00,2025-12-31 16:48,B737,1h 48m,PLT5664,FO_15,First Officer,B737,27,6,18,2,2025-12-30 21:00
FLY1134,Hyderabad to Bangalore,2025-12-31 12:00,2025-12-31 13:54,B737,1h 54m,PLT8566,Captain_48,Captain,B737,58,36,24,1,2025-12-30 12:00
FLY1135,Hyderabad to Bangalore,2025-12-31 06:00,2025-12-31 08:41,B737,2h 41m,PLT8564,Captain_38,Captain,B737,41,19,22,2,2025-12-30 08:00
FLY1136,Goa to Guwahati,2025-12-31 14:15,2025-12-31 17:00,B737,2h 45m,PLT5923,Captain_30,Captain,B737,56,34,9,8,2025-12-31 05:15
FLY1137,Ahmedabad to Guwahati,2025-12-31 20:00,2025-12-31 22:49,B737,2h 49m,PLT5831,FO_7,First Officer,B737,26,5,17,4,2025-12-31 03:00
FLY1138,Kolkata to Ahmedabad,2025-12-31 08:00,2025-12-31 10:17,A320,2h 17m,PLT5788,Captain_18,Captain,A320,46,24,16,4,2025-12-30 16:00
FLY1139,Pune to Bangalore,2025-12-31 06:00,2025-12-31 07:53,A320,1h 53m,PLT6723,FO_40,First Officer,A320,33,12,13,2,2025-12-30 17:00
FLY1140,Bangalore to Guwahati,2025-12-31 15:15,2025-12-31 16:22,B737,1h 7m,PLT6029,FO_29,First Officer,B737,38,17,23,3,2025-12-30 16:15
FLY1141,Chennai to Mumbai,2025-12-31 17:00,2025-12-31 18:17,B737,1h 17m,PLT6593,Captain_1,Captain,B737,59,37,12,8,2025-12-31 05:00
FLY1142,Hyderabad to Goa,2025-12-31 11:00,2025-12-31 13:20,B737,2h 20m,PLT6438,Captain_49,Captain,B737,55,33,8,8,2025-12-31 03:00
FLY1143,Delhi to Mumbai,2025-12-31 07:00,2025-12-31 09:05,B737,2h 5m,PLT7278,FO_42,First Officer,B737,24,3,15,1,2025-12-30 16:00
FLY1144,Hyderabad to Mumbai,2025-12-31 13:30,2025-12-31 14:35,B737,1h 5m,PLT8004,Captain_49,Captain,B737,43,21,21,3,2025-12-30 16:30
FLY1145,Kolkata to Ahmedabad,2025-12-31 12:00,2025-12-31 13:22,B737,1h 22m,PLT5022,FO_27,First Officer,B737,35,14,24,1,2025-12-30 12:00
FLY1146,Guwahati to Hyderabad,2025-12-31 11:00,2025-12-31 12:17,A320,1h 17m,PLT8672,FO_4,First Officer,A320,26,5,23,4,2025-12-30 12:00
FLY1147,Hyderabad to Guwahati,2025-12-31 12:00,2025-12-31 13:40,B737,1h 40m,PLT7185,Captain_44,Captain,B737,56,34,12,6,2025-12-31 00:00
FLY1148,Guwahati to Hyderabad,2025-12-31 05:30,2025-12-31 07:12,B737,1h 42m,PLT6786,FO_27,First Officer,B737,39,18,14,1,2025-12-30 15:30
FLY1149,Delhi to Pune,2025-12-31 14:45,2025-12-31 16:18,B737,1h 33m,PLT7513,FO_42,First Officer,B737,29,8,24,4,2025-12-30 14:45
FLY1150,Delhi to Pune,2025-12-31 09:45,2025-12-31 11:35,B737,1h 50m,PLT8759,FO_24,First Officer,B737,36,15,15,4,2025-12-30 18:45
FLY1151,Chennai to Kolkata,2025-12-31 06:30,2025-12-31 08:35,B737,2h 5m,PLT5725,FO_47,First Officer,B737,35,14,24,4,2025-12-30 06:30
FLY1152,Delhi to Bangalore,2025-12-31 06:30,2025-12-31 08:28,B737,1h 58m,PLT8567,FO_31,First Officer,B737,39,18,20,2,2025-12-30 10:30
FLY1153,Ahmedabad to Chennai,2025-12-31 16:45,2025-12-31 18:55,B737,2h 10m,PLT8412,Captain_36,Captain,B737,60,38,20,1,2025-12-30 20:45
FLY1154,Ahmedabad to Chennai,2025-12-31 00:30,2025-12-31 01:56,A320,1h 26m,PLT5974,FO_4,First Officer,A320,28,7,22,3,2025-12-30 02:30
FLY1155,Guwahati to Mumbai,2025-12-31 03:00,2025-12-31 05:42,B737,2h 42m,PLT7847,Captain_18,Captain,B737,56,34,22,2,2025-12-30 05:00
FLY1156,Goa to Guwahati,2025-12-31 10:00,2025-12-31 11:08,A320,1h 8m,PLT5185,FO_3,First Officer,A320,34,13,11,8,2025-12-30 23:00
FLY1157,Delhi to Pune,2025-12-31 19:15,2025-12-31 20:35,A320,1h 20m,PLT5605,FO_36,First Officer,A320,24,3,9,6,2025-12-31 10:15
FLY1158,Chennai to Guwahati,2025-12-31 18:45,2025-12-31 20:18,B737,1h 33m,PLT5731,FO_39,First Officer,B737,24,3,24,2,2025-12-30 18:45
FLY1159,Chennai to Bangalore,2025-12-31 16:15,2025-12-31 17:41,B737,1h 26m,PLT8335,Captain_47,Captain,B737,47,25,15,1,2025-12-31 01:15
