flight_id,flight_date,airline,origin_airport,destination_airport,scheduled_departure,scheduled_arrival,flight_status,delay_minutes,disruption_type,disruption_severity,available_captains,available_first_officers,standby_crew,max_duty_hours,rest_required_hours,airport_congestion_level,slots_available,recovery_action
FL1062,2025-02-14,Go First,BOM,DEL,22:40,0:50,CANCELLED,0,ATC,MEDIUM,3,1,3,8,12,MEDIUM,5,NO_ACTION
FL1063,2025-02-14,SpiceJet,BOM,DEL,21:45,23:55,ON_TIME,15,TECHNICAL,HIGH,1,1,3,8,12,MEDIUM,9,REASSIGN_CREW
FL1064,2025-02-14,Go First,BOM,DEL,21:15,23:30,DELAYED,0,TECHNICAL,LOW,5,2,0,8,12,LOW,9,CANCEL_FLIGHT
FL1065,2025-02-14,Go First,BOM,DEL,23:45,2:00,DELAYED,0,ATC,HIGH,3,5,2,8,12,LOW,1,DELAY_30
FL1066,2025-02-14,SpiceJet,BOM,DEL,19:25,21:50,DELAYED,15,CREW,HIGH,1,3,0,8,12,MEDIUM,0,DELAY_30
FL1067,2025-02-15,IndiGo,BOM,DEL,8:30,10:25,CANCELLED,15,TECHNICAL,HIGH,3,2,0,8,12,LOW,1,NO_ACTION
FL1068,2025-02-15,Go First,BOM,DEL,12:30,14:35,ON_TIME,120,NONE,HIGH,2,2,0,8,12,LOW,7,NO_ACTION
FL1069,2025-02-15,Go First,BOM,DEL,14:30,16:35,CANCELLED,0,CREW,HIGH,4,3,0,8,12,MEDIUM,6,SWAP_AIRCRAFT
FL1070,2025-02-15,IndiGo,BOM,DEL,7:45,9:50,DELAYED,0,NONE,HIGH,2,2,0,8,12,LOW,3,DELAY_30
FL1071,2025-02-15,Go First,BOM,DEL,6:00,8:10,CANCELLED,30,TECHNICAL,LOW,2,3,2,8,12,LOW,6,SWAP_AIRCRAFT
FL1072,2025-02-15,Go First,BOM,DEL,8:00,10:10,ON_TIME,0,WEATHER,HIGH,3,3,0,8,12,LOW,10,NO_ACTION
FL1073,2025-02-15,Vistara,BOM,DEL,6:00,8:05,DELAYED,15,ATC,MEDIUM,3,2,3,8,12,HIGH,5,REASSIGN_CREW
FL1074,2025-02-15,Vistara,BOM,DEL,6:30,8:35,CANCELLED,0,NONE,MEDIUM,5,3,2,8,12,LOW,4,DELAY_30
FL1075,2025-02-15,Vistara,BOM,DEL,12:25,14:30,CANCELLED,30,NONE,HIGH,3,4,0,8,12,MEDIUM,1,CANCEL_FLIGHT
FL1076,2025-02-15,IndiGo,BOM,DEL,9:20,11:30,ON_TIME,0,ATC,HIGH,4,1,0,8,12,LOW,6,SWAP_AIRCRAFT
FL1077,2025-02-15,IndiGo,BOM,DEL,10:05,12:15,CANCELLED,30,TECHNICAL,LOW,2,2,3,8,12,LOW,1,REASSIGN_CREW
FL1078,2025-02-15,Air India,BOM,DEL,8:00,10:15,DELAYED,15,ATC,LOW,4,3,0,8,12,LOW,2,CANCEL_FLIGHT
FL1079,2025-02-15,Air India,BOM,DEL,10:00,12:15,ON_TIME,0,ATC,LOW,1,5,1,8,12,HIGH,1,CANCEL_FLIGHT
FL1080,2025-02-15,Go First,BOM,DEL,9:55,12:10,CANCELLED,60,WEATHER,HIGH,5,5,3,8,12,MEDIUM,5,SWAP_AIRCRAFT
FL1081,2025-02-15,Go First,BOM,DEL,12:15,14:30,CANCELLED,30,CREW,LOW,2,3,3,8,12,HIGH,7,DELAY_30
FL1082,2025-02-15,Go First,BOM,DEL,13:30,15:45,ON_TIME,15,CREW,MEDIUM,3,2,2,8,12,HIGH,2,DELAY_30
FL1083,2025-02-15,Vistara,BOM,DEL,7:30,9:40,DELAYED,60,TECHNICAL,HIGH,4,5,1,8,12,MEDIUM,9,CANCEL_FLIGHT
FL1084,2025-02-15,Vistara,BOM,DEL,11:55,14:05,ON_TIME,30,ATC,MEDIUM,3,2,2,8,12,HIGH,2,NO_ACTION
FL1085,2025-02-15,IndiGo,BOM,DEL,7:05,9:20,DELAYED,30,TECHNICAL,LOW,4,4,3,8,12,MEDIUM,0,NO_ACTION
FL1086,2025-02-15,IndiGo,BOM,DEL,11:45,14:00,CANCELLED,0,ATC,MEDIUM,1,1,2,8,12,HIGH,4,CANCEL_FLIGHT
FL1087,2025-02-15,IndiGo,BOM,DEL,13:40,15:50,CANCELLED,30,ATC,HIGH,4,1,2,8,12,HIGH,7,NO_ACTION
FL1088,2025-02-15,SpiceJet,BOM,DEL,7:20,9:35,DELAYED,30,NONE,MEDIUM,1,5,3,8,12,MEDIUM,10,SWAP_AIRCRAFT
FL1089,2025-02-15,SpiceJet,BOM,DEL,10:15,12:30,CANCELLED,120,CREW,LOW,5,3,3,8,12,LOW,0,REASSIGN_CREW
FL1090,2025-02-15,Vistara,BOM,DEL,8:45,11:00,ON_TIME,0,ATC,MEDIUM,4,3,2,8,12,MEDIUM,6,NO_ACTION
FL1091,2025-02-15,Vistara,BOM,DEL,10:25,12:40,ON_TIME,30,TECHNICAL,LOW,5,4,2,8,12,HIGH,1,REASSIGN_CREW
FL1092,2025-02-15,Vistara,BOM,DEL,14:40,16:55,DELAYED,0,WEATHER,LOW,2,4,0,8,12,LOW,6,NO_ACTION
FL1093,2025-02-15,AirAsia India,BOM,DEL,7:20,9:30,DELAYED,0,CREW,HIGH,4,5,3,8,12,MEDIUM,6,NO_ACTION
FL1094,2025-02-15,AirAsia India,DEL,BOM,19:10,21:25,ON_TIME,30,NONE,HIGH,3,3,0,8,12,HIGH,3,DELAY_30
FL1095,2025-02-15,Air India,DEL,BOM,18:00,20:00,ON_TIME,0,TECHNICAL,HIGH,1,3,2,8,12,LOW,7,SWAP_AIRCRAFT
FL1096,2025-02-15,IndiGo,DEL,BOM,17:15,19:25,ON_TIME,0,ATC,HIGH,3,3,1,8,12,LOW,8,NO_ACTION
FL1097,2025-02-15,IndiGo,DEL,BOM,18:40,20:50,CANCELLED,15,TECHNICAL,LOW,3,4,0,8,12,MEDIUM,4,SWAP_AIRCRAFT
FL1098,2025-02-15,Air India,DEL,BOM,19:00,21:15,CANCELLED,30,WEATHER,LOW,4,1,0,8,12,MEDIUM,10,NO_ACTION
FL1099,2025-02-15,SpiceJet,DEL,BOM,18:55,21:05,DELAYED,120,WEATHER,MEDIUM,3,5,2,8,12,MEDIUM,5,DELAY_30
FL1100,2025-02-15,Vistara,DEL,BOM,15:30,17:40,CANCELLED,30,NONE,LOW,3,1,3,8,12,LOW,4,NO_ACTION
FL1101,2025-02-15,Vistara,DEL,BOM,19:50,22:00,DELAYED,120,WEATHER,HIGH,2,5,1,8,12,MEDIUM,6,DELAY_30
FL1102,2025-02-15,Vistara,DEL,BOM,20:40,22:50,ON_TIME,0,TECHNICAL,MEDIUM,2,1,3,8,12,LOW,9,CANCEL_FLIGHT
FL1103,2025-02-15,Vistara,DEL,BOM,21:40,23:50,CANCELLED,60,TECHNICAL,MEDIUM,1,5,1,8,12,HIGH,5,DELAY_30
FL1104,2025-02-15,IndiGo,DEL,BOM,21:15,23:30,ON_TIME,60,NONE,MEDIUM,5,1,3,8,12,HIGH,3,NO_ACTION
FL1105,2025-02-15,Air India,DEL,BOM,20:00,22:10,CANCELLED,30,CREW,LOW,2,1,1,8,12,HIGH,4,NO_ACTION
FL1106,2025-02-15,Vistara,DEL,BOM,19:00,21:15,ON_TIME,60,NONE,LOW,4,4,2,8,12,HIGH,2,REASSIGN_CREW
FL1107,2025-02-15,SpiceJet,DEL,BOM,19:45,22:05,DELAYED,60,WEATHER,LOW,4,2,0,8,12,MEDIUM,6,CANCEL_FLIGHT
FL1108,2025-02-15,Vistara,DEL,BOM,16:45,19:05,DELAYED,15,CREW,HIGH,2,4,1,8,12,LOW,0,NO_ACTION
FL1109,2025-02-15,Vistara,DEL,BOM,17:45,20:05,CANCELLED,120,ATC,MEDIUM,4,4,2,8,12,LOW,7,NO_ACTION
FL1110,2025-02-15,AirAsia India,DEL,BOM,4:25,6:35,CANCELLED,60,ATC,HIGH,5,1,3,8,12,MEDIUM,9,CANCEL_FLIGHT
FL1111,2025-02-15,Air India,DEL,BOM,7:00,9:05,CANCELLED,60,NONE,HIGH,1,2,3,8,12,HIGH,9,REASSIGN_CREW
FL1112,2025-02-15,Go First,DEL,BOM,13:30,15:35,CANCELLED,15,ATC,LOW,5,2,1,8,12,LOW,8,SWAP_AIRCRAFT
FL1113,2025-02-15,Air India,DEL,BOM,8:00,10:10,DELAYED,30,CREW,HIGH,5,5,0,8,12,LOW,3,REASSIGN_CREW
FL1114,2025-02-15,Go First,DEL,BOM,7:00,9:10,ON_TIME,30,NONE,HIGH,2,3,0,8,12,HIGH,4,REASSIGN_CREW
FL1115,2025-02-15,Go First,DEL,BOM,8:00,10:10,ON_TIME,0,TECHNICAL,MEDIUM,2,1,1,8,12,LOW,6,NO_ACTION
FL1116,2025-02-15,Vistara,DEL,BOM,9:30,11:35,CANCELLED,15,TECHNICAL,HIGH,4,3,2,8,12,MEDIUM,8,DELAY_30
FL1117,2025-02-15,IndiGo,DEL,BOM,6:30,8:40,DELAYED,120,TECHNICAL,LOW,2,1,2,8,12,LOW,0,NO_ACTION
FL1118,2025-02-15,IndiGo,DEL,BOM,12:00,14:10,CANCELLED,30,WEATHER,HIGH,1,3,0,8,12,LOW,2,SWAP_AIRCRAFT
FL1119,2025-02-15,IndiGo,DEL,BOM,7:15,9:25,DELAYED,30,CREW,LOW,1,5,2,8,12,HIGH,6,DELAY_30
FL1120,2025-02-15,Air India,DEL,BOM,9:00,11:15,DELAYED,0,ATC,LOW,3,4,2,8,12,LOW,4,DELAY_30
FL1121,2025-02-15,Go First,DEL,BOM,14:20,16:35,CANCELLED,120,TECHNICAL,HIGH,5,5,3,8,12,HIGH,0,CANCEL_FLIGHT
FL1122,2025-02-15,Go First,DEL,BOM,15:00,17:15,DELAYED,120,WEATHER,MEDIUM,3,1,3,8,12,MEDIUM,8,REASSIGN_CREW
FL1123,2025-02-15,Vistara,DEL,BOM,5:45,7:55,CANCELLED,0,TECHNICAL,LOW,1,4,0,8,12,LOW,8,REASSIGN_CREW
FL1124,2025-02-15,Vistara,DEL,BOM,12:50,15:00,ON_TIME,30,WEATHER,MEDIUM,5,2,0,8,12,HIGH,8,NO_ACTION
FL1125,2025-02-15,Vistara,DEL,BOM,14:20,16:30,CANCELLED,0,ATC,LOW,2,4,0,8,12,LOW,9,DELAY_30
FL1126,2025-02-15,IndiGo,DEL,BOM,14:20,16:35,ON_TIME,120,TECHNICAL,HIGH,5,2,0,8,12,MEDIUM,1,DELAY_30
FL1127,2025-02-15,Go First,DEL,BOM,10:30,12:50,DELAYED,0,TECHNICAL,HIGH,4,2,0,8,12,HIGH,1,SWAP_AIRCRAFT
FL1128,2025-02-15,Vistara,DEL,BOM,7:30,9:45,CANCELLED,60,NONE,LOW,4,1,2,8,12,HIGH,9,REASSIGN_CREW
FL1129,2025-02-15,Vistara,DEL,BOM,10:20,12:35,CANCELLED,15,CREW,MEDIUM,2,3,0,8,12,LOW,6,CANCEL_FLIGHT
FL1130,2025-02-15,Go First,DEL,BOM,2:00,4:15,CANCELLED,15,ATC,MEDIUM,5,5,0,8,12,MEDIUM,9,REASSIGN_CREW
FL1131,2025-02-15,IndiGo,DEL,BOM,10:45,13:05,DELAYED,0,CREW,HIGH,3,1,2,8,12,LOW,3,SWAP_AIRCRAFT
FL1132,2025-02-15,IndiGo,DEL,BOM,8:45,11:05,CANCELLED,60,ATC,LOW,4,1,2,8,12,LOW,2,DELAY_30
FL1133,2025-02-15,Vistara,DEL,BOM,8:50,11:10,DELAYED,120,NONE,MEDIUM,5,3,1,8,12,MEDIUM,8,DELAY_30
FL1134,2025-02-15,Vistara,DEL,BOM,11:40,14:00,CANCELLED,60,CREW,LOW,5,3,1,8,12,MEDIUM,5,SWAP_AIRCRAFT
FL1135,2025-02-15,IndiGo,DEL,BOM,9:30,12:00,DELAYED,120,ATC,MEDIUM,5,2,2,8,12,MEDIUM,8,DELAY_30
FL1136,2025-02-15,AirAsia India,BOM,DEL,22:00,0:10,ON_TIME,120,NONE,MEDIUM,4,4,0,8,12,MEDIUM,8,DELAY_30
FL1137,2025-02-15,IndiGo,BOM,DEL,19:35,21:25,CANCELLED,30,ATC,LOW,1,5,1,8,12,LOW,3,DELAY_30
FL1138,2025-02-15,Go First,BOM,DEL,16:30,18:35,CANCELLED,60,NONE,LOW,2,2,2,8,12,MEDIUM,8,REASSIGN_CREW
FL1139,2025-02-15,IndiGo,BOM,DEL,18:30,20:35,ON_TIME,60,CREW,LOW,4,2,3,8,12,MEDIUM,4,CANCEL_FLIGHT
FL1140,2025-02-15,IndiGo,BOM,DEL,17:15,19:20,ON_TIME,30,ATC,MEDIUM,5,5,0,8,12,MEDIUM,2,CANCEL_FLIGHT
FL1141,2025-02-15,Go First,BOM,DEL,18:00,20:10,ON_TIME,15,CREW,HIGH,5,1,0,8,12,HIGH,6,SWAP_AIRCRAFT
FL1142,2025-02-15,Go First,BOM,DEL,20:15,22:25,ON_TIME,60,TECHNICAL,HIGH,2,1,1,8,12,HIGH,4,SWAP_AIRCRAFT
FL1143,2025-02-15,Go First,BOM,DEL,22:40,0:50,DELAYED,120,WEATHER,HIGH,1,1,1,8,12,LOW,0,SWAP_AIRCRAFT
FL1144,2025-02-15,Vistara,BOM,DEL,20:55,23:00,DELAYED,120,TECHNICAL,HIGH,3,3,3,8,12,LOW,2,CANCEL_FLIGHT
FL1145,2025-02-15,Air India,BOM,DEL,21:30,23:45,ON_TIME,120,NONE,LOW,1,4,0,8,12,HIGH,5,DELAY_30
FL1146,2025-02-15,Air India,BOM,DEL,16:00,18:15,CANCELLED,15,ATC,LOW,2,1,2,8,12,HIGH,7,DELAY_30
FL1147,2025-02-15,Air India,BOM,DEL,19:00,21:15,ON_TIME,15,ATC,LOW,1,4,2,8,12,MEDIUM,3,SWAP_AIRCRAFT
FL1148,2025-02-15,SpiceJet,BOM,DEL,21:45,23:55,CANCELLED,0,CREW,LOW,2,3,1,8,12,MEDIUM,8,REASSIGN_CREW
FL1149,2025-02-15,Go First,BOM,DEL,21:15,23:30,CANCELLED,15,WEATHER,HIGH,1,5,3,8,12,HIGH,4,CANCEL_FLIGHT
FL1150,2025-02-15,Go First,BOM,DEL,23:45,2:00,DELAYED,0,NONE,MEDIUM,3,4,0,8,12,HIGH,7,DELAY_30
FL1151,2025-02-15,Vistara,BOM,DEL,17:35,19:45,CANCELLED,15,NONE,HIGH,4,4,1,8,12,MEDIUM,2,NO_ACTION
FL1152,2025-02-15,Vistara,BOM,DEL,18:30,20:40,CANCELLED,15,WEATHER,HIGH,3,3,2,8,12,MEDIUM,9,CANCEL_FLIGHT
FL1153,2025-02-15,Vistara,BOM,DEL,19:45,21:55,DELAYED,120,ATC,MEDIUM,1,3,3,8,12,MEDIUM,10,NO_ACTION
FL1154,2025-02-15,Vistara,BOM,DEL,22:45,0:55,DELAYED,60,NONE,HIGH,2,2,3,8,12,MEDIUM,4,REASSIGN_CREW
FL1155,2025-02-15,Vistara,BOM,DEL,21:55,0:10,ON_TIME,15,WEATHER,LOW,3,5,0,8,12,LOW,9,SWAP_AIRCRAFT
FL1156,2025-02-15,Air India,BOM,DEL,18:00,20:25,CANCELLED,120,CREW,HIGH,1,2,3,8,12,MEDIUM,6,NO_ACTION
FL1157,2025-02-15,Vistara,BOM,DEL,15:45,18:05,CANCELLED,30,TECHNICAL,MEDIUM,3,3,0,8,12,HIGH,3,CANCEL_FLIGHT
FL1158,2025-02-15,SpiceJet,BOM,DEL,19:25,21:50,ON_TIME,120,NONE,LOW,5,5,2,8,12,MEDIUM,4,SWAP_AIRCRAFT
FL1159,2025-02-16,IndiGo,BOM,DEL,8:30,10:25,CANCELLED,15,WEATHER,MEDIUM,5,5,1,8,12,HIGH,8,SWAP_AIRCRAFT
FL1160,2025-02-16,IndiGo,BOM,DEL,7:45,9:50,ON_TIME,60,WEATHER,HIGH,5,4,1,8,12,HIGH,6,SWAP_AIRCRAFT
FL1161,2025-02-16,Vistara,BOM,DEL,6:00,8:05,ON_TIME,60,NONE,HIGH,3,2,0,8,12,MEDIUM,2,NO_ACTION
FL1162,2025-02-16,Vistara,BOM,DEL,6:30,8:35,ON_TIME,15,TECHNICAL,MEDIUM,5,2,3,8,12,MEDIUM,0,SWAP_AIRCRAFT
FL1163,2025-02-16,Vistara,BOM,DEL,12:25,14:30,ON_TIME,15,NONE,LOW,3,4,3,8,12,HIGH,0,CANCEL_FLIGHT
FL1164,2025-02-16,IndiGo,BOM,DEL,13:40,15:50,CANCELLED,60,TECHNICAL,MEDIUM,3,4,1,8,12,MEDIUM,7,NO_ACTION
FL1165,2025-02-16,IndiGo,BOM,DEL,9:20,11:30,CANCELLED,0,CREW,HIGH,4,4,2,8,12,LOW,0,DELAY_30
FL1166,2025-02-16,IndiGo,BOM,DEL,10:05,12:15,DELAYED,15,TECHNICAL,HIGH,3,4,3,8,12,HIGH,1,DELAY_30
FL1167,2025-02-16,Air India,BOM,DEL,8:00,10:15,ON_TIME,15,NONE,HIGH,2,5,3,8,12,MEDIUM,8,REASSIGN_CREW
FL1168,2025-02-16,Vistara,BOM,DEL,7:30,9:40,CANCELLED,60,NONE,MEDIUM,4,5,0,8,12,MEDIUM,9,CANCEL_FLIGHT
FL1169,2025-02-16,Vistara,BOM,DEL,11:55,14:05,ON_TIME,60,ATC,LOW,5,4,1,8,12,HIGH,4,SWAP_AIRCRAFT
FL1170,2025-02-16,IndiGo,BOM,DEL,11:45,14:00,CANCELLED,0,CREW,LOW,5,1,1,8,12,HIGH,7,DELAY_30
FL1171,2025-02-16,IndiGo,BOM,DEL,7:05,9:20,CANCELLED,30,WEATHER,MEDIUM,4,2,2,8,12,MEDIUM,4,REASSIGN_CREW
